group,name,key,value
Nationality,MOLDAVIA,18A5,F22D
Nationality,MONGOLIA,18A5,3F4B
Nationality,MONTENEGRO,18A5,8EB2
Nationality,MOZAMBICO,18A5,EC10
Nationality,NAMIBIA,18A5,18F3
Nationality,NEPAL,18A5,521A
Nationality,NICARAGUA,18A5,1677
Nationality,NIGERIA,18A5,C468
Nationality,NORVEGIA,18A5,6F87
Nationality,NUOVA CALEDONIA,18A5,99E3
Nationality,NUOVA ZELANDA,18A5,1FDF
Nationality,OLANDA,18A5,D4FC
Nationality,OMAN,18A5,F046
Nationality,PAESI BASSI,18A5,0ADB
Nationality,PAKISTAN,18A5,ADCD
Nationality,PALESTINA,18A5,6B5B
Nationality,PANAMA',18A5,90FC
Nationality,PARAGUAY,18A5,5B3A
Nationality,PERU',18A5,7F5D
Nationality,POLINESIA,18A5,E210
Nationality,POLONIA,18A5,7CF1
Nationality,PORTOGALLO,18A5,4186
Nationality,PRINCIPATO DI MONACO,18A5,294F
Nationality,QATAR,18A5,694F
Nationality,REP. CECA,18A5,0E52
Nationality,REP. CENTRAFRICANA,18A5,E129
Nationality,REP. DEL CONGO,18A5,6D2B
Nationality,REP. DEL SURINAME,18A5,8328
Nationality,REP. DELLE SEYCHELLES,18A5,8ED8
Nationality,REP. DI MACEDONIA,18A5,CECF
Nationality,REP. DI VANUATU,18A5,AD79
Nationality,REP. DOMINICANA,18A5,65C1
Nationality,REP. PORTORICANA,18A5,94D6
Nationality,REP. SAN MARINO,18A5,9160
Nationality,REP. SLOVACCA,18A5,5089
Nationality,REP. SUDAFRICANA,18A5,3646
Nationality,RHODESIA,18A5,7C0B
Nationality,ROMANIA,18A5,94ED
Nationality,RUANDA,18A5,9BE2
Nationality,SAMOA,18A5,C3A2
Nationality,SAO TOME' E PRINCIPE,18A5,725E
Nationality,SENEGAL,18A5,C9AE
Nationality,SERBIA E MONTENEGRO,18A5,9446
Nationality,SIERRA LEONE,18A5,187A
Nationality,SINGAPORE,18A5,2E3C
Nationality,SIRIA,18A5,C592
Nationality,SLOVACCHIA,18A5,E8B3
Nationality,SLOVENIA,18A5,75A7
Nationality,SOMALIA,18A5,945C
Nationality,SPAGNA,18A5,E8F9
Nationality,SRI LANKA,18A5,2871
Nationality,ST KITTS E NEVIS,18A5,25EF
